1,1,9.99000999000999E-4,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1, ])
13,1,0.012987012987012988,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2, ])
13,2,0.012987012987012988,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
13,3,0.012987012987012988,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
14,1,0.013986013986013986,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2, ])
14,2,0.013986013986013986,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
14,3,0.013986013986013986,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
15,1,0.014985014985014986,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d3, ])
15,2,0.014985014985014986,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
15,3,0.014985014985014986,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
16,1,0.015984015984015984,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d3, ])
16,2,0.015984015984015984,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
16,3,0.015984015984015984,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
17,1,0.016983016983016984,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d1, ])
17,2,0.016983016983016984,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
17,3,0.016983016983016984,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
18,1,0.017982017982017984,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d1, ])
18,2,0.017982017982017984,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
18,3,0.017982017982017984,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
19,1,0.01898101898101898,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d1, ])
19,2,0.01898101898101898,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
19,3,0.01898101898101898,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
20,1,0.01998001998001998,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4, ])
20,2,0.01998001998001998,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
20,3,0.01998001998001998,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
21,1,0.02097902097902098,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2, ])
21,2,0.02097902097902098,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
21,3,0.02097902097902098,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
22,1,0.02197802197802198,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2, ])
22,2,0.02197802197802198,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
22,3,0.02197802197802198,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
23,1,0.022977022977022976,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d1, ])
23,2,0.022977022977022976,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
23,3,0.022977022977022976,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
24,1,0.023976023976023976,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d1, ])
24,2,0.023976023976023976,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
24,3,0.023976023976023976,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
25,1,0.024975024975024976,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d3, ])
25,2,0.024975024975024976,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
25,3,0.024975024975024976,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
26,1,0.025974025974025976,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d3, ])
26,2,0.025974025974025976,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
26,3,0.025974025974025976,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
27,1,0.026973026973026972,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1, ])
27,2,0.026973026973026972,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
27,3,0.026973026973026972,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
28,1,0.027972027972027972,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d4, ])
28,2,0.027972027972027972,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
28,3,0.027972027972027972,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
29,1,0.028971028971028972,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4, ])
29,2,0.028971028971028972,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
29,3,0.028971028971028972,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
30,1,0.029970029970029972,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, ])
30,2,0.029970029970029972,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
30,3,0.029970029970029972,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
31,1,0.030969030969030968,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d1, ])
31,2,0.030969030969030968,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
31,3,0.030969030969030968,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
32,1,0.03196803196803197,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1, ])
32,2,0.03196803196803197,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
32,3,0.03196803196803197,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
33,1,0.03296703296703297,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2, ])
33,2,0.03296703296703297,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
33,3,0.03296703296703297,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
34,1,0.03396603396603397,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1, ])
34,2,0.03396603396603397,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
34,3,0.03396603396603397,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
35,1,0.03496503496503497,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d3, ])
35,2,0.03496503496503497,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
35,3,0.03496503496503497,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
36,1,0.03596403596403597,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d4, ])
36,2,0.03596403596403597,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
36,3,0.03596403596403597,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
37,1,0.03696303696303696,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d3, ])
37,2,0.03696303696303696,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
37,3,0.03696303696303696,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
38,1,0.03796203796203796,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2, ])
38,2,0.03796203796203796,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
38,3,0.03796203796203796,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
39,1,0.03896103896103896,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1, ])
39,2,0.03896103896103896,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2, ])
39,3,0.03896103896103896,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
40,1,0.03996003996003996,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d3, ])
40,2,0.03996003996003996,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
40,3,0.03996003996003996,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
41,1,0.04095904095904096,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2, ])
41,2,0.04095904095904096,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
41,3,0.04095904095904096,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
42,1,0.04195804195804196,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2, ])
42,2,0.04195804195804196,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
42,3,0.04195804195804196,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
43,1,0.04295704295704296,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d4, ])
43,2,0.04295704295704296,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
43,3,0.04295704295704296,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
44,1,0.04395604395604396,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2, ])
44,2,0.04395604395604396,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
44,3,0.04395604395604396,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
45,1,0.04495504495504495,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4, ])
45,2,0.04495504495504495,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
45,3,0.04495504495504495,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
46,1,0.04595404595404595,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d4, ])
46,2,0.04595404595404595,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
46,3,0.04595404595404595,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
47,1,0.04695304695304695,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4, ])
47,2,0.04695304695304695,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
47,3,0.04695304695304695,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
48,1,0.04795204795204795,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, ])
48,2,0.04795204795204795,ParsCat@15,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, ])
48,3,0.04795204795204795,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
49,1,0.04895104895104895,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d1, ])
49,2,0.04895104895104895,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
49,3,0.04895104895104895,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
50,1,0.04995004995004995,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d1, ])
50,2,0.04995004995004995,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
50,3,0.04995004995004995,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
51,1,0.05094905094905095,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d1, ])
51,2,0.05094905094905095,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
51,3,0.05094905094905095,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
52,1,0.05194805194805195,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d3, ])
52,2,0.05194805194805195,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
52,3,0.05194805194805195,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
53,1,0.052947052947052944,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2, ])
53,2,0.052947052947052944,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
53,3,0.052947052947052944,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
54,1,0.053946053946053944,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4, ])
54,2,0.053946053946053944,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
54,3,0.053946053946053944,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
55,1,0.054945054945054944,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d3, ])
55,2,0.054945054945054944,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
55,3,0.054945054945054944,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
56,1,0.055944055944055944,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, ])
56,2,0.055944055944055944,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
56,3,0.055944055944055944,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
57,1,0.056943056943056944,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d4, ])
57,2,0.056943056943056944,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
57,3,0.056943056943056944,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
58,1,0.057942057942057944,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d1, ])
58,2,0.057942057942057944,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
58,3,0.057942057942057944,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
59,1,0.058941058941058944,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2, ])
59,2,0.058941058941058944,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
59,3,0.058941058941058944,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
60,1,0.059940059940059943,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d3, ])
60,2,0.059940059940059943,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
60,3,0.059940059940059943,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
61,1,0.060939060939060936,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d3, ])
61,2,0.060939060939060936,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
61,3,0.060939060939060936,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d1, ])
62,1,0.061938061938061936,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d3, ])
62,2,0.061938061938061936,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
62,3,0.061938061938061936,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d4, ])
63,1,0.06293706293706294,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d1, ])
63,2,0.06293706293706294,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
63,3,0.06293706293706294,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d4, ])
64,1,0.06393606393606394,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, ])
64,2,0.06393606393606394,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
64,3,0.06393606393606394,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d1, ])
65,1,0.06493506493506493,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1, ])
65,2,0.06493506493506493,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
65,3,0.06493506493506493,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
66,1,0.06593406593406594,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2, ])
66,2,0.06593406593406594,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
66,3,0.06593406593406594,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d1, ])
67,1,0.06693306693306693,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2, ])
67,2,0.06693306693306693,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
67,3,0.06693306693306693,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d1, ])
68,1,0.06793206793206794,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d3, ])
68,2,0.06793206793206794,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
68,3,0.06793206793206794,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
69,1,0.06893106893106893,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2, ])
69,2,0.06893106893106893,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
69,3,0.06893106893106893,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
70,1,0.06993006993006994,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1, ])
70,2,0.06993006993006994,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
70,3,0.06993006993006994,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d4, ])
71,1,0.07092907092907093,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4, ])
71,2,0.07092907092907093,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
71,3,0.07092907092907093,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d4, ])
72,1,0.07192807192807193,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4, ])
72,2,0.07192807192807193,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
72,3,0.07192807192807193,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d4, ])
73,1,0.07292707292707293,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1, ])
73,2,0.07292707292707293,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
73,3,0.07292707292707293,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d4, ])
74,1,0.07392607392607392,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1, ])
74,2,0.07392607392607392,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
74,3,0.07392607392607392,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d1, ])
75,1,0.07492507492507493,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d3, ])
75,2,0.07492507492507493,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
75,3,0.07492507492507493,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d4, ])
76,1,0.07592407592407592,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2, ])
76,2,0.07592407592407592,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
76,3,0.07592407592407592,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d1, ])
77,1,0.07692307692307693,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d3, ])
77,2,0.07692307692307693,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
77,3,0.07692307692307693,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d1, ])
78,1,0.07792207792207792,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2, ])
78,2,0.07792207792207792,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
78,3,0.07792207792207792,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
79,1,0.07892107892107893,LDAgent@14,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2, ])
79,2,0.07892107892107893,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
79,3,0.07892107892107893,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d4, ])
80,1,0.07992007992007992,LDAgent@14,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4, ])
80,2,0.07992007992007992,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
80,3,0.07992007992007992,SYAgent@16,(Offer  bid:Bid[a: a3, b: b4, c: c3, d: d1, ])
81,1,0.08091908091908091,LDAgent@14,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d1, ])
81,2,0.08091908091908091,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
81,3,0.08091908091908091,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
82,1,0.08191808191808192,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d4, ])
82,2,0.08191808191808192,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
82,3,0.08191808191808192,SYAgent@16,(Offer  bid:Bid[a: a3, b: b2, c: c3, d: d1, ])
83,1,0.08291708291708291,LDAgent@14,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2, ])
83,2,0.08291708291708291,ParsCat@15,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3, ])
